T_K,M_abs
0.0,1.0
5.0,1.0
10.0,1.0
15.0,1.0
20.0,1.0
25.0,1.0
30.0,1.0
35.0,1.0
40.0,1.0
45.0,1.0
50.0,1.0
55.0,1.0
60.0,1.0
65.0,1.0
70.0,1.0
75.0,1.0
80.0,1.0
85.0,1.0
90.0,1.0
95.0,1.0
100.0,1.0
105.0,1.0
110.0,1.0
115.0,1.0
120.0,1.0
125.0,1.0
130.0,1.0
135.0,1.0
140.0,1.0
145.0,1.0
150.0,1.0
155.0,1.0
160.0,1.0
165.0,1.0
170.0,1.0
175.0,1.0
180.0,1.0
185.0,1.0
190.0,1.0
195.0,1.0
200.0,1.0
205.0,1.0
210.0,1.0
215.0,1.0
220.0,1.0
225.0,1.0
230.0,1.0
235.0,1.0
240.0,1.0
245.0,1.0
250.0,1.0
255.0,1.0
260.0,1.0
265.0,1.0
270.0,0.99999755859375
275.0,0.99999755859375
280.0,0.99998779296875
285.0,0.99999267578125
290.0,0.99998779296875
295.0,0.9999853515625
300.0,0.9999951171875
305.0,0.99996337890625
310.0,0.99998779296875
315.0,0.999990234375
320.0,0.9999755859375
325.0,0.9999658203125
330.0,0.99996826171875
335.0,0.99998046875
340.0,0.9999462890625
345.0,0.9999609375
350.0,0.99992919921875
355.0,0.9999462890625
360.0,0.99994140625
365.0,0.999921875
370.0,0.99989990234375
375.0,0.99986572265625
380.0,0.99986572265625
385.0,0.99984130859375
390.0,0.999794921875
395.0,0.9998388671875
400.0,0.99979248046875
405.0,0.9997509765625
410.0,0.999736328125
415.0,0.999609375
420.0,0.9996533203125
425.0,0.99960693359375
430.0,0.99962646484375
435.0,0.99951171875
440.0,0.99947998046875
445.0,0.99938720703125
450.0,0.9993798828125
455.0,0.9992919921875
460.0,0.99918701171875
465.0,0.99911865234375
470.0,0.9990478515625
475.0,0.99888916015625
480.0,0.9991015625
485.0,0.9987646484375
490.0,0.9988818359375
495.0,0.9986376953125
500.0,0.99862060546875
505.0,0.99853271484375
510.0,0.99834716796875
515.0,0.9982275390625
520.0,0.998076171875
525.0,0.99807373046875
530.0,0.9975634765625
535.0,0.9975
540.0,0.997490234375
545.0,0.997314453125
550.0,0.997275390625
555.0,0.99701171875
560.0,0.99646240234375
565.0,0.9965380859375
570.0,0.99614501953125
575.0,0.99590576171875
580.0,0.99594482421875
585.0,0.99551513671875
590.0,0.9955078125
595.0,0.99491943359375
600.0,0.99464111328125
605.0,0.994462890625
610.0,0.99421142578125
615.0,0.993779296875
620.0,0.99319580078125
625.0,0.993134765625
630.0,0.99226318359375
635.0,0.9920458984375
640.0,0.99140869140625
645.0,0.99147216796875
650.0,0.990986328125
655.0,0.9904638671875
660.0,0.9895849609375
665.0,0.98908203125
670.0,0.9883935546875
675.0,0.9892724609375
680.0,0.98682373046875
685.0,0.98753173828125
690.0,0.98662841796875
695.0,0.985966796875
700.0,0.98560791015625
705.0,0.984287109375
710.0,0.98245361328125
715.0,0.9831884765625
720.0,0.982451171875
725.0,0.98174072265625
730.0,0.97968505859375
735.0,0.97858154296875
740.0,0.97851806640625
745.0,0.97708740234375
750.0,0.97733642578125
755.0,0.976171875
760.0,0.97510498046875
765.0,0.9735205078125
770.0,0.973359375
775.0,0.97139892578125
780.0,0.9697607421875
785.0,0.96891357421875
790.0,0.96723388671875
795.0,0.96567138671875
800.0,0.96658447265625
805.0,0.96380615234375
810.0,0.96233642578125
815.0,0.96010986328125
820.0,0.95786376953125
825.0,0.95770751953125
830.0,0.95619384765625
835.0,0.95426025390625
840.0,0.95056640625
845.0,0.95078125
850.0,0.94753173828125
855.0,0.946044921875
860.0,0.94250244140625
865.0,0.94143310546875
870.0,0.9401318359375
875.0,0.93389404296875
880.0,0.937705078125
885.0,0.93442138671875
890.0,0.91997802734375
895.0,0.92818115234375
900.0,0.92656982421875
905.0,0.918837890625
910.0,0.9133154296875
915.0,0.908212890625
920.0,0.90470947265625
925.0,0.905
930.0,0.907861328125
935.0,0.89896484375
940.0,0.87545654296875
945.0,0.89361083984375
950.0,0.8524853515625
955.0,0.881005859375
960.0,0.872392578125
965.0,0.8719287109375
970.0,0.85742919921875
975.0,0.848388671875
980.0,0.85772216796875
985.0,0.854765625
990.0,0.83337646484375
995.0,0.80339111328125
1000.0,0.80286376953125
1005.0,0.817158203125
1010.0,0.8089599609375
1015.0,0.7890185546875
1020.0,0.64039794921875
1025.0,0.7573095703125
1030.0,0.77411376953125
1035.0,0.70683837890625
1040.0,0.76058349609375
1045.0,0.48013427734375
1050.0,0.3729296875
1055.0,0.6077001953125
1060.0,0.5876123046875
1065.0,0.2607373046875
1070.0,0.0885205078125
1075.0,0.13452392578125
1080.0,0.06244140625
1085.0,0.0591845703125
1090.0,0.03521728515625
1095.0,0.28341552734375
1100.0,0.05900634765625
1105.0,0.09166748046875
1110.0,0.11146240234375
1115.0,0.129736328125
1120.0,0.09367431640625
1125.0,0.0615869140625
1130.0,0.13928955078125
1135.0,0.1425390625
1140.0,0.10100341796875
1145.0,0.07323974609375
1150.0,0.08774169921875
1155.0,0.046943359375
1160.0,0.0928759765625
1165.0,0.04430419921875
1170.0,0.08696044921875
1175.0,0.06473876953125
1180.0,0.18696533203125
1185.0,0.0428076171875
1190.0,0.05119873046875
1195.0,0.06587158203125
1200.0,0.0769091796875
